organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,newly diagnosed patients-diabetes only,newly diagnosed patients-hypertension only,newly diagnosed patients-dm & htn (both),newly diagnosed patients-oral cancer,newly diagnosed patients-breast cancer_ncd,newly diagnosed patients-cervical cancer,newly diagnosed patients-other cancers,newly diagnosed patients-cvds,newly diagnosed patients-copd,newly diagnosed patients-ckd,newly diagnosed patients-nfald,newly diagnosed patients-stroke,newly diagnosed patients-rheumatoid arthritis
YBdLW8HbtTq,NANDED District,INP020024,,2072.0,3902.0,880.0,5.0,0.0,0.0,1.0,144.0,401.0,61.0,86.0,80.0,112.0
R3e0vEeNGKf,NANDURBAR District,INP020025,,3387.0,4134.0,1583.0,29.0,28.0,26.0,1054.0,37.0,319.0,175.0,259.0,28.0,254.0
bpwdZ43qNP8,NASHIK District,INP020023,,2614.0,4228.0,1306.0,24.0,1.0,2.0,11.0,331.0,176.0,21.0,21.0,114.0,22.0
lt9nHhvDkE9,Nasik Circle,,,9758.0,13326.0,4792.0,55.0,29.0,34.0,1065.0,384.0,626.0,196.0,286.0,164.0,312.0
ceSRLSuzCVv,OSMANABAD District,INP020027,,1596.0,1766.0,438.0,2.0,3.0,7.0,1.0,46.0,65.0,2.0,3.0,19.0,6.0
hNKI6wGAYKW,PALGHAR District,,,1198.0,1315.0,769.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
KybL1gHWlQz,PARBHANI District,INP020028,,936.0,1136.0,368.0,4.0,1.0,0.0,1.0,19.0,5.0,0.0,7.0,3.0,303.0
tt1jP7AMMXh,Pune Circle,,,12576.0,17829.0,8470.0,17.0,22.0,14.0,6.0,310.0,212.0,26.0,13.0,68.0,129.0
YeFrXHg9G9A,PUNE District,INP020026,,10646.0,14575.0,6931.0,1.0,11.0,9.0,1.0,203.0,129.0,10.0,0.0,8.0,100.0
BoAXl0VBwzM,RAIGAD District,INP020030,,564.0,1016.0,103.0,1.0,0.0,0.0,0.0,19.0,25.0,9.0,2.0,11.0,2.0
iq9F3uBuH8V,RATNAGIRI District,INP020031,,743.0,1257.0,389.0,8.0,10.0,0.0,12.0,35.0,49.0,9.0,3.0,12.0,0.0
IQkIUNqMpZh,SANGLI District,INP020029,,589.0,579.0,358.0,2.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,71.0
eoPDxhiVN0N,SATARA District,INP020033,,1203.0,2315.0,832.0,12.0,10.0,3.0,4.0,65.0,48.0,15.0,13.0,55.0,10.0
WtAaAL4DqyP,SINDHUDURG District,INP020034,,4943.0,7717.0,2263.0,4.0,7.0,4.0,7.0,99.0,59.0,18.0,9.0,25.0,136.0
TXW9gLCDId8,SOLAPUR District,INP020032,,727.0,939.0,707.0,4.0,1.0,2.0,1.0,42.0,35.0,1.0,0.0,5.0,19.0
gebOTX312Ko,THANE District,INP020001,,1313.0,1932.0,913.0,3.0,1.0,0.0,2.0,339.0,733.0,34.0,46.0,205.0,10.0
O6nkEM1HSlL,WARDHA District,INP020035,,361.0,866.0,212.0,3.0,6.0,4.0,2.0,24.0,44.0,3.0,3.0,25.0,8.0
cEtISxeARwH,WASHIM District,INP020002,,333.0,813.0,183.0,10.0,12.0,1.0,3.0,102.0,28.0,6.0,0.0,46.0,0.0
dSaNDIEQRBn,YEOTMAL District,INP020013,,1168.0,2035.0,616.0,0.0,0.0,0.0,0.0,1.0,135.0,7.0,40.0,1.0,45.0
